电流,电压,电功,热功,温度
0.305417228,492.2853429,0.150352425,0.002727039,20.35860091
0.418370848,489.9750039,0.204991258,0.004702159,20.35887627
0.557452854,487.85643,0.271956959,0.007446353,20.35921896
0.738578799,485.765195,0.358775874,0.011410364,20.3596729
0.991142597,483.5584959,0.479275423,0.017499744,20.36032302
1.336658825,481.2858846,0.643315025,0.026637729,20.36124945
1.791785325,479.0208057,0.85830245,0.039766603,20.36254287
2.392262151,476.7365939,1.14047891,0.058557497,20.3643895
2.990853599,474.9266861,1.420436188,0.078622727,20.36635863
3.516674398,473.5833126,1.665438311,0.097169566,20.36813092
3.934677355,472.6332138,1.859659204,0.112457777,20.36963517
4.353634186,471.7622138,2.053880102,0.128224083,20.37123137
4.918585108,470.6903144,2.315130371,0.150135354,20.37352882
5.940937534,468.9767178,2.786161385,0.191522108,20.37815339
7.252879044,467.0790091,3.387667557,0.247579923,20.38498777
8.645143344,465.3116861,4.022686226,0.31038418,20.3934078
10.13874502,463.585325,4.700173404,0.381511688,20.40383915
10.88488325,462.7753849,5.037256035,0.418404316,20.40964195
10.88734207,462.7727654,5.038365398,0.418527318,20.4096618
10.88792638,462.7721428,5.038629021,0.418556558,20.40966652
10.88813675,462.7719186,5.038723936,0.418567086,20.40966822
10.8882125,462.7718379,5.038758109,0.418570877,20.40966883
10.88821262,462.7718378,5.038758164,0.418570883,20.40966883
10.88821265,462.7718378,5.038758177,0.418570884,20.40966883
10.88821266,462.7718377,5.038758182,0.418570885,20.40966883
10.88821266,462.7718377,5.038758184,0.418570885,20.40966883
10.88821267,462.7718377,5.038758188,0.418570885,20.40966883
10.88821271,462.7718377,5.038758204,0.418570887,20.40966883
10.8882128,462.7718376,5.038758247,0.418570892,20.40966884
10.88821281,462.7718376,5.038758249,0.418570892,20.40966884
10.88821283,462.7718376,5.038758258,0.418570893,20.40966884
10.88821288,462.7718375,5.03875828,0.418570896,20.40966884
10.88821294,462.7718374,5.03875831,0.418570899,20.40966884
10.88821315,462.7718372,5.038758402,0.418570909,20.40966884
10.8882136,462.7718367,5.038758607,0.418570932,20.40966884
10.88821442,462.7718359,5.038758978,0.418570973,20.40966885
10.8882167,462.7718334,5.038760006,0.418571087,20.40966887
10.8882191,462.7718309,5.038761089,0.418571207,20.40966889
10.88822642,462.7718231,5.03876439,0.418571573,20.40966895
10.88824976,462.7717982,5.038774921,0.418572741,20.40966913
10.88828743,462.7717581,5.038791917,0.418574627,20.40966944
10.88834388,462.7716979,5.038817387,0.418577452,20.40966989
10.88845646,462.771578,5.038868176,0.418583085,20.4096708
10.88865823,462.771363,5.038959208,0.418593183,20.40967243
10.88885999,462.771148,5.03905024,0.418603281,20.40967406
10.889123,462.7708677,5.039168899,0.418616443,20.40967619
10.88958027,462.7703804,5.039375203,0.418639328,20.40967988
10.89023184,462.7696861,5.03966917,0.418671939,20.40968514
10.89088342,462.7689917,5.039963137,0.418704552,20.40969041
10.891535,462.7682972,5.040257104,0.418737166,20.40969567
10.89268084,462.7670758,5.04077406,0.418794523,20.40970493
10.8945608,462.7650717,5.041622211,0.418888636,20.40972011
10.89697698,462.7624956,5.042712262,0.419009609,20.40973964
10.90011725,462.7591467,5.044128956,0.419166861,20.40976502
10.90507332,462.75386,5.046364773,0.4194151,20.40980509
10.91362254,462.7447369,5.050221391,0.419843475,20.40987425
10.92767823,462.7297283,5.05656158,0.420548201,20.40998807
10.95085471,462.7049577,5.067014765,0.4217114,20.41017602
10.99251894,462.6603634,5.085802806,0.42380607,20.4105148
11.07201048,462.5751006,5.121636359,0.427814821,20.41116438
11.21324589,462.4232686,5.185265817,0.434974589,20.41232906
11.3781858,462.2457946,5.259518537,0.443392129,20.41370648
11.54324857,462.0684744,5.333771257,0.451871247,20.41510378
11.70842377,461.8917187,5.408023977,0.460406715,20.41652111
11.87370345,461.7158177,5.482276696,0.468994552,20.41795863
12.03908151,461.5409748,5.556529416,0.477631701,20.41941645
12.20455309,461.3673361,5.630782147,0.486315722,20.4208947
12.41507904,461.1484506,5.725194462,0.497422033,20.42280397
12.62574508,460.9317512,5.819606788,0.508598561,20.42474664
12.88282485,460.6696438,5.934726334,0.522331101,20.42716091
13.19671703,460.3513685,6.075126744,0.539257978,20.43017369
13.57899891,459.9709172,6.245944585,0.560045323,20.4339413
13.96624504,459.5930572,6.418789255,0.58129399,20.4378687
14.35392612,459.2216697,6.591633921,0.60276067,20.44191297
14.84424275,458.7606657,6.809954684,0.630193663,20.44719024
15.59382177,458.0719384,7.143092164,0.672755989,20.4556237
16.98295681,456.8363363,7.758431769,0.753670887,20.472604
17.92236209,456.0224817,8.173000038,0.809946069,20.48606003
18.71651397,455.3407723,8.522391925,0.858594546,20.50026443
19.32207893,454.8201824,8.788071463,0.896432896,20.51508338
19.80731185,454.4059854,9.000561059,0.927149034,20.53039483
20.25492541,454.0332349,9.196409304,0.955651152,20.54613109
20.48666417,453.8375077,9.29761661,0.970594652,20.55891697
20.67190043,453.6859128,9.378550019,0.982504328,20.5692655
20.85710262,453.5377503,9.4594834,0.994396925,20.5797171
21.18769114,453.2777458,9.603908877,1.015667195,20.59862364
21.52473604,452.9907373,9.750506049,1.038001763,20.61815762
